plotID,subplotID,plotType,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,coordSrc,elevation,vertUncert,nlcdClass,appMods,subpltSize,subpltDim,refPoint,plotName,plotStatus
ABBY_069,23_400,tower,basePlot,45.7614796710517,-122.327198942581,WGS84,10N,552319.911,5067766.889,2.1,GIS,369.76,0.53,grasslandHerbaceous,ltr|bbc|hbp|cfc|vst,400,20m x 20m,23,ABBY_069_basePlot,current
ABBY_069,21_400,tower,basePlot,45.761489083955,-122.327461572417,WGS84,10N,552299.479,5067767.763,2.1,GIS,369.98,0.53,grasslandHerbaceous,ltr|bbc|hbp|cfc|vst,400,20m x 20m,21,ABBY_069_basePlot,current
ABBY_070,21_400,tower,basePlot,45.7612348490198,-122.330936915654,WGS84,10N,552029.458,5067737.25,2.1,GIS,364.58,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,21,ABBY_070_basePlot,current
ABBY_070,39_400,tower,basePlot,45.7614191761618,-122.330927871163,WGS84,10N,552029.99,5067757.735,2.1,GIS,363.75,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,39,ABBY_070_basePlot,current
ABBY_070,23_400,tower,basePlot,45.7612224734377,-122.330678822622,WGS84,10N,552049.54,5067736.043,2.1,GIS,365.25,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,23,ABBY_070_basePlot,current
ABBY_070,41_400,tower,basePlot,45.7614104194193,-122.330663728684,WGS84,10N,552050.539,5067756.934,2.1,GIS,364.99,0.53,evergreenForest,ltr|bbc|hbp|cfc|bgc|sme|vst,400,20m x 20m,41,ABBY_070_basePlot,current
ABBY_001,31_400,distributed,basePlot,45.772616626438,-122.346381706749,WGS84,10N,550818.064,5068991.857,2.25,GIS,302.14,0.53,evergreenForest,hbp|cfc,400,20m x 20m,31,ABBY_001_basePlot,current
ABBY_002,31_400,distributed,basePlot,45.7390542041707,-122.309106282025,WGS84,10N,553748.394,5065287.376,2.1,GIS,643.96,0.53,grasslandHerbaceous,hbp|cfc,400,20m x 20m,31,ABBY_002_basePlot,current
ABBY_003,31_400,distributed,basePlot,45.7620150291928,-122.371093792504,WGS84,10N,548905.994,5067798.587,2.1,GIS,603.66,0.53,evergreenForest,hbp|cfc,400,20m x 20m,31,ABBY_003_basePlot,current
ABBY_004,31_400,distributed,basePlot,45.7685814629273,-122.298732435867,WGS84,10N,554526.667,5068574.931,2.1,GIS,586.09,0.53,shrubScrub,hbp|cfc,400,20m x 20m,31,ABBY_004_basePlot,current
ABBY_006,31_400,distributed,basePlot,45.7540388623001,-122.29854352553,WGS84,10N,554555.528,5066959.348,2.27,GIS,529.79,0.53,evergreenForest,hbp|cfc,400,20m x 20m,31,ABBY_006_basePlot,current
ABBY_007,31_400,distributed,basePlot,45.7689386436884,-122.360996252079,WGS84,10N,549685.067,5068574.04,2.22,GIS,444.48,0.53,evergreenForest,hbp|cfc,400,20m x 20m,31,ABBY_007_basePlot,current
ABBY_008,31_400,distributed,basePlot,45.7713581545181,-122.355212697616,WGS84,10N,550132.593,5068846.463,2.18,GIS,352.68,0.53,evergreenForest,hbp|cfc,400,20m x 20m,31,ABBY_008_basePlot,current
ABBY_009,31_400,distributed,basePlot,45.7656120131466,-122.29953634016,WGS84,10N,554467.05,5068244.471,2.1,GIS,539.1,0.53,shrubScrub,hbp|cfc,400,20m x 20m,31,ABBY_009_basePlot,current
ABBY_010,31_400,distributed,basePlot,45.7765519098869,-122.375910128101,WGS84,10N,548518.853,5069410.732,2.25,GIS,549.33,0.53,evergreenForest,hbp|cfc,400,20m x 20m,31,ABBY_010_basePlot,current
ABBY_011,31_400,distributed,basePlot,45.7433616973454,-122.358992694298,WGS84,10N,549863.627,5065733.639,2.1,GIS,482.36,0.53,grasslandHerbaceous,hbp|cfc,400,20m x 20m,31,ABBY_011_basePlot,current
ABBY_013,31_400,distributed,basePlot,45.7453324499874,-122.372809849111,WGS84,10N,548787.082,5065944.073,2.1,GIS,633.56,0.53,grasslandHerbaceous,hbp|cfc,400,20m x 20m,31,ABBY_013_basePlot,current
ABBY_014,31_400,distributed,basePlot,45.7511780326064,-122.317397027285,WGS84,10N,553091.918,5066628.817,2.26,GIS,471.29,0.53,evergreenForest,hbp|cfc,400,20m x 20m,31,ABBY_014_basePlot,current
ABBY_015,31_400,distributed,basePlot,45.7322793232403,-122.300349815923,WGS84,10N,554436.189,5064540.597,2.1,GIS,712,0.53,shrubScrub,hbp|cfc,400,20m x 20m,31,ABBY_015_basePlot,current
ABBY_016,31_400,distributed,basePlot,45.7470108114622,-122.332423064836,WGS84,10N,551927.079,5066155.967,2.19,GIS,384.96,0.53,evergreenForest,hbp|cfc,400,20m x 20m,31,ABBY_016_basePlot,current
ABBY_017,31_400,distributed,basePlot,45.7727598351851,-122.36979844832901,WGS84,10N,548997.316,5068993.151,2.1,GIS,497.12,0.53,evergreenForest,hbp|cfc,400,20m x 20m,31,ABBY_017_basePlot,current
ABBY_018,31_400,distributed,basePlot,45.764526149385,-122.386780337234,WGS84,10N,547684.014,5068068.104,2.1,GIS,460.94,0.53,grasslandHerbaceous,hbp|cfc,400,20m x 20m,31,ABBY_018_basePlot,current
ABBY_019,31_400,distributed,basePlot,45.7525985209558,-122.325834120823,WGS84,10N,552434.363,5066781.07,2.1,GIS,435.11,0.53,evergreenForest,hbp|cfc,400,20m x 20m,31,ABBY_019_basePlot,current
ABBY_023,31_400,distributed,basePlot,45.7445937470858,-122.38165199894,WGS84,10N,548099.915,5065856.647,2.1,GIS,507.27,0.53,mixedForest,hbp|cfc,400,20m x 20m,31,ABBY_023_basePlot,current
ABBY_025,31_400,distributed,basePlot,45.7695371378725,-122.32448734277,WGS84,10N,552523.214,5068663.868,2.2,GIS,318.75,0.53,mixedForest,hbp|cfc,400,20m x 20m,31,ABBY_025_basePlot,current
ABBY_077,31_400,distributed,basePlot,45.7513439849511,-122.341627738611,WGS84,10N,551207.137,5066631.456,2.31,GIS,378.21,0.53,shrubScrub,hbp|cfc,400,20m x 20m,31,ABBY_077_basePlot,current
ABBY_001,41_400,distributed,basePlot,45.7727083680994,-122.346239655049,WGS84,10N,550829.025,5069002.14,2.26,GIS,302.13,0.53,evergreenForest,cfc|bgc|sme,400,20m x 20m,41,ABBY_001_basePlot,current
ABBY_001,21_400,distributed,basePlot,45.7725199445431,-122.346516124252,WGS84,10N,550807.701,5068981.03,2.25,GIS,303.35,0.53,evergreenForest,cfc|bgc|sme,400,20m x 20m,21,ABBY_001_basePlot,current
ABBY_002,41_400,distributed,basePlot,45.7391439417763,-122.308982738438,WGS84,10N,553757.919,5065297.429,2.1,GIS,644.91,0.53,grasslandHerbaceous,cfc|bgc|sme,400,20m x 20m,41,ABBY_002_basePlot,current
ABBY_002,21_400,distributed,basePlot,45.7389661626726,-122.309233480604,WGS84,10N,553738.583,5065277.509,2.1,GIS,643.46,0.53,grasslandHerbaceous,cfc|bgc|sme,400,20m x 20m,21,ABBY_002_basePlot,current
ABBY_003,41_400,distributed,basePlot,45.7621052050428,-122.370962538016,WGS84,10N,548916.122,5067808.686,2.1,GIS,601.97,0.53,evergreenForest,cfc|bgc|sme,400,20m x 20m,41,ABBY_003_basePlot,current
ABBY_003,21_400,distributed,basePlot,45.7619243463862,-122.37121963842,WGS84,10N,548896.287,5067788.435,2.1,GIS,605.31,0.53,evergreenForest,cfc|bgc|sme,400,20m x 20m,21,ABBY_003_basePlot,current
ABBY_004,21_400,distributed,basePlot,45.7684919861671,-122.298864340654,WGS84,10N,554516.498,5068564.9,2.1,GIS,582.77,0.53,shrubScrub,cfc|bgc|sme,400,20m x 20m,21,ABBY_004_basePlot,current
ABBY_004,41_400,distributed,basePlot,45.7686688653393,-122.298605739655,WGS84,10N,554536.433,5068584.728,2.1,GIS,587.26,0.53,shrubScrub,cfc|bgc|sme,400,20m x 20m,41,ABBY_004_basePlot,current
